signature,body,docstring,id
fun foo(),= r,// WITH_STDLIB,519f
fun test(),= B,"// EXPECTED_REACHABLE_NODES: 1281
// FILE: main.kt",fe98
fun test123(),"{
    val g: (Int) -> Unit = if (true) {
        val set = HashSet<Int>()
        fun (i: Int) {
            set.add(i)
        }","// FIR_IDENTICAL
// !DIAGNOSTICS: -UNUSED_VARIABLE -UNUSED_EXPRESSION",9b17
fun test(),= 1,"// FIR_IDENTICAL
// !DIAGNOSTICS: -ERROR_SUPPRESSION
// FILE: A.kt",fe98
fun foo(plugin: Plugin),": String? {
    return plugin.commonFields?.screenShots
}","// TARGET_BACKEND: JVM_IR
// ISSUE: KT-65111

// FILE: plugin/Plugin.java",ee5b
fun box(),": String =
    f",// FILE: example/test.kt,4f27
fun foo(),= 4,// FIR_IDENTICAL,519f
fun lib(),": String {
    val x = X()

    return when {
        bar != 23 -> ""fail 1""
        muc != ""fifth"" -> ""fail 2""
        toc != ""sixth"" -> ""fail 3""

        x.bar != ""seventh"" -> ""fail 4""
        x.muc != 29 -> ""fail 5""
        x.toc != ""eighth"" -> ""fail 6""

        else -> ""OK""
    }","// MODULE: lib
// FILE: A.kt
// VERSION: 1",f985
fun box(),": String {
    val x = recursive<Int, Int, Int, Int, Int, Int, String>(){ ""abc"" }",// WITH_STDLIB,4f27
fun foo(),"{
    val text: List<Any> = null!!
    text.<!UNRESOLVED_REFERENCE!>map<!> <!DEBUG_INFO_MISSING_UNRESOLVED!>Any<!><!SYNTAX!>?<!>::<!DEBUG_INFO_MISSING_UNRESOLVED!>toString<!>
}",// !DIAGNOSTICS: -UNREACHABLE_CODE,519f
"fun appendRange(source: String, fromIndex: Int, toIndex: Int)","{
        val addLen = toIndex - fromIndex
        val oldLen = length
        val newLen = oldLen + addLen
        if (newLen > buf.size) buf = buf.copyOf(newLen.coerceAtLeast(2 * buf.size))
        for (i in 0 until addLen) buf[oldLen + i] = source[fromIndex + i]
        length += addLen
    }",// initializes buf usage upon the first encountered escaped char,e341
fun <T> id(p: T),: T = p,// FIR_IDENTICAL,7511
fun box(),": String {
    try {
        for (i in 0 until 1) {
            try {
                val x = ""x""
                throw RuntimeException(x)
            }","// WITH_STDLIB
// FILE: test.kt",4f27
fun foo(),": T
}

class Derived<T> : Base<T> {
    override : T = ""error"" as T
}","// ISSUE: KT-62863
// FIR_IDENTICAL
// DUMP_IR",519f
"fun <T> test(s1: S1, x: T)","{
    if (s1.s1 != ""OK"" && x != X1) throw AssertionError()
}","// WITH_STDLIB
// WORKS_WHEN_VALUE_CLASS
// LANGUAGE: +ValueClasses",601b
fun sideEffecting(),": Int {
    result += ""OK""
    return 123
}","// IGNORE_BACKEND: JS, JS_IR, JS_IR_ES6, WASM",ada3
fun foo(),{},// WITH_STDLIB,519f
fun main(args: Array<String>),"{
    <!EQUALITY_NOT_APPLICABLE!>(1 to A()) == A()<!>
    <!EQUALITY_NOT_APPLICABLE!>(1 to B()) == B()<!>

    <!EQUALITY_NOT_APPLICABLE!>(1 to A()) === A()<!>
    <!EQUALITY_NOT_APPLICABLE!>(1 to B()) === B()<!>
}","// ISSUE: KT-25808
// WITH_STDLIB

// B.java",5b61
fun test(some: Some<String>),"{
    register(some.g)
}","// MODULE: user(intermediate)
// FILE: user.kt",d1e4
"fun reportError(internalName: String, vararg another: JvmDeclarationOrigin)","{
        val duplicateClasses =
            another.mapNotNull { it.descriptor }","// Allow clashing classes if they are originated from the same source element. For example, this happens during inlining anonymous
        // objects. In JVM IR, this also happens for anonymous classes in default arguments of tailrec functions, because default arguments
        // are deep-copied (see JvmTailrecLowering).",426e
fun box(),": String {
    class L : C({}","// TARGET_BACKEND: JVM
// LAMBDAS: CLASS
// WITH_REFLECT",4f27
fun foo(),": Boolean
}
interface B : A
interface C : A

fun test() {
    var a: A? = null
    while (a is B || a is C) {
        a.foo()
    }",// !DUMP_CFG,519f
fun <T> suspendAndLog(value: T),: T = s,"// WITH_STDLIB
// WITH_COROUTINES",7a66
fun box(),": String {

    val z = 1;

    val p = z[2, 3]
    if (p != 6) return ""fail 1: $p""

    z[2, 3] = p
    if (res != 12) return ""fail 2: $res""

    return ""OK""
}",// FILE: 2.kt,4f27
fun explicitType(),": @Anno(""explicit type $constant"") List<@Anno(""nested explicit type $constant"") List<@Anno(""nested nested explicit type $constant"") T>>? = n",// MEMBER_NAME_FILTER: resolveMe,12bc
fun foo(),"}

// MODULE: m2-jvm()()(m1-common)
// FILE: jvm.kt

actual open class Foo {
    actual  {}","// FIR_IDENTICAL
// MODULE: m1-common
// FILE: common.kt",519f
fun fromMode(mode: String),": JsMainFunctionExecutionMode =
            J","// DO NOT EDIT MANUALLY!
// Generated by org/jetbrains/kotlin/generators/arguments/GenerateGradleOptions.kt
// To regenerate run 'generateGradleOptions' task",e42d
fun bar(),": String = ""","// CHECK_TYPESCRIPT_DECLARATIONS
// RUN_PLAIN_BOX_FUNCTION
// SKIP_MINIFICATION
// SKIP_NODE_JS
// INFER_MAIN_MODULE
// MODULE: JS_TESTS
// FILE: abstract-classes.kt",66c3
fun bar(i: I),= i,"// TARGET_BACKEND: JVM_IR
// FILE: 1.kt",3930
fun box(),": String {
    var result = ""fail""
    val c = C()
    c.x = { result = ""OK"" }",// FILE: 2.kt,4f27
"fun <T> select(x1: T, x2: T)",= x,"// !DIAGNOSTICS: -USELESS_CAST -UNUSED_PARAMETER -UNUSED_VARIABLE

// FILE: j/Base.java",c6d2
fun other2_ab(),{},//FILE: c2.kt,0e56
fun test(_b: b),"{
    _b.a_b()
}",// FILE: c4.kt,6d75
fun getO(),": R

    abstract fun getK() : R
}


inline fun <R> doWork(job: ()-> R) : R {
    return job()
}","// NO_CHECK_LAMBDA_INLINING
// FILE: 1.kt",273a
fun box(),": String {
    val o = ""O""
    val p = ""GOOD""
    val result = doWork {
        val k = ""K""
        val s = object : A<String>() {

            val param = p;

            override fun getO(): String {
                return o;
            }",// FILE: 2.kt,4f27
fun mod(x: Int),= M,"// FIR_IDENTICAL
// !LANGUAGE: -ProhibitOperatorMod
// !DIAGNOSTICS: -UNUSED_PARAMETER, -EXTENSION_SHADOWED_BY_MEMBER",c5fc
"fun <S> select(x: S, y: S)",: S = x,"// FIR_IDENTICAL
// !DIAGNOSTICS: -UNUSED_PARAMETER

// FILE: JClass.java",be1c
fun box(),": String {
    var s = ""Failt""
    JavaClass<String>().perform("""") { s = ""OK"" }","// TARGET_BACKEND: JVM
// MODULE: lib
// FILE: JavaClass.java

// KT-5912",4f27
fun box(),"= ""","// IGNORE_LIGHT_ANALYSIS
// TARGET_BACKEND: JVM
// FILE: ArrayAnnEnumJava.java",4f27
fun box(),": String {
    for (i in 1 .. 2) {
        for (j in 1u .. break) {}",// WITH_STDLIB,4f27
fun nonExistingMethod(x: String),"= ""","// !JDK_KIND: MODIFIED_MOCK_JDK
// !CHECK_TYPE",da30
fun hasExtras(),": kotlin.Boolean {
      return _builder.hasExtras()
    }","/**
     * <code>optional .org.jetbrains.kotlin.gradle.idea.proto.generated.IdeaExtrasProto extras = 1;</code>
     * @return Whether the extras field is set.
     */",e8d4
fun hasType(),": kotlin.Boolean {
      return _builder.hasType()
    }","/**
     * <code>optional .org.jetbrains.kotlin.gradle.idea.proto.generated.tcs.IdeaKotlinSourceDependencyProto.Type type = 2;</code>
     * @return Whether the type field is set.
     */",b50a
fun clearCoordinates(),"{
      _builder.clearCoordinates()
    }","/**
     * <code>optional .org.jetbrains.kotlin.gradle.idea.proto.generated.tcs.IdeaKotlinProjectCoordinatesProto coordinates = 3;</code>
     */",0f1e
fun hasCoordinates(),": kotlin.Boolean {
      return _builder.hasCoordinates()
    }","/**
     * <code>optional .org.jetbrains.kotlin.gradle.idea.proto.generated.tcs.IdeaKotlinProjectCoordinatesProto coordinates = 3;</code>
     * @return Whether the coordinates field is set.
     */",4df9
fun a(),: String = b,// FILE: A.kt,9ea5
fun box(),: String = O,"// TARGET_BACKEND: JVM
// WITH_STDLIB
// FILE: box.kt",4f27
fun whenForExpectSealed(s: SealedClass),": Int {
    return <!EXPECT_TYPE_IN_WHEN_WITHOUT_ELSE, NO_ELSE_IN_WHEN!>when<!> (s) { // should be error, because actual sealed class may add more implementations
        is SealedClass.Nested.NestedDeeper -> 7
        is SealedClass.Nested -> 8
    }","// ISSUE: KT-45796

// MODULE: m1-common",1594
fun isCallToNonAbstractMethodOfFunInterface(expression: IrCall),": Boolean {
            val owner = expression.symbol.owner
            return owner.hasFunInterfaceParent() && owner.modality != Modality.ABSTRACT
        }","// TODO do we need new class here? if yes, do we need different names for temp classes?",ce37
fun test(),"{
    val b: Int
    run { b = 1 }","// FIR_IDENTICAL
// DIAGNOSTICS: -ASSIGNED_BUT_NEVER_ACCESSED_VARIABLE
// ISSUE: KT-59860",fe98
fun <ItemType> setupListSpeedSearch(),"{
    class MatchedItem(val item: ItemType)
    class MatchedItem1<T>(val item: ItemType)
    <!CLASS_LITERAL_LHS_NOT_A_CLASS!>MatchedItem::class<!>
    MatchedItem::item
    MatchedItem1::class
    <!WRONG_NUMBER_OF_TYPE_ARGUMENTS!>MatchedItem1<!>::item
    <!CLASS_LITERAL_LHS_NOT_A_CLASS!>MatchedItem1<Int>::class<!>
    MatchedItem1<Int>::item
}","// WITH_STDLIB
// FULL_JDK",6807
"fun <T, E, D> foo(a: T, b: E, c: D)",= a,// FILE: main.kt,ad80
fun box(),": String {
    val charBound = Char.MIN_VALUE
    if ('b' in 'a' until charBound) return ""Fail in Char.MIN_VALUE""
    if (!('b' !in 'a' until charBound)) return ""Fail !in Char.MIN_VALUE""

    val intBound = Int.MIN_VALUE
    if (1 in 0 until intBound) return ""Fail in Int.MIN_VALUE""
    if (!(1 !in 0 until intBound)) return ""Fail !in Int.MIN_VALUE""

    val longBound = Long.MIN_VALUE
    if (1L in 0L until longBound) return ""Fail in Long.MIN_VALUE""
    if (!(1L !in 0L until longBound)) return ""Fail !in Long.MIN_VALUE""

    val uIntBound = UInt.MIN_VALUE
    if (1u in 0u until uIntBound) return ""Fail in UInt.MIN_VALUE""
    if (!(1u !in 0u until uIntBound)) return ""Fail !in UInt.MIN_VALUE""

    val uLongBound = ULong.MIN_VALUE
    if (1uL in 0uL until uLongBound) return ""Fail in ULong.MIN_VALUE""
    if (!(1uL !in 0uL until uLongBound)) return ""Fail !in ULong.MIN_VALUE""

    return ""OK""
}","// WITH_STDLIB
// USE_OLD_INLINE_CLASSES_MANGLING_SCHEME",4f27
fun bar(),": String = ""","/** This file is generated by {@link :js:js.test:generateTypeScriptJsExportOnFileTests} task. DO NOT MODIFY MANUALLY */

// CHECK_TYPESCRIPT_DECLARATIONS
// RUN_PLAIN_BOX_FUNCTION
// SKIP_MINIFICATION
// SKIP_NODE_JS
// INFER_MAIN_MODULE
// MODULE: JS_TESTS
// FILE: sealed-classes.kt",66c3
"fun checkBoundsForAbbreviatedSupertype(
        type: KotlinType,
        trace: BindingTrace,
        typeReference: KtTypeReference,
        reportWarning: Boolean
    )","{
        val parameters = type.constructor.parameters
        val arguments = type.arguments
        val substitutor = TypeSubstitutor.create(type)

        val diagnostic =
            if (reportWarning)
                UPPER_BOUND_VIOLATED_IN_TYPEALIAS_EXPANSION_WARNING
            else
                UPPER_BOUND_VIOLATED_IN_TYPEALIAS_EXPANSION

        for (i in arguments.indices) {
            if (arguments[i].isStarProjection) continue
            val argumentType = arguments[i].type

            checkBoundsForAbbreviatedSupertype(argumentType, trace, typeReference, reportWarning)

            checkBounds(
                argumentReference = null,
                argumentType, parameters[i], substitutor, trace,
                typeAliasUsageElement = typeReference, diagnosticForTypeAliases = diagnostic,
            )
        }","// it's really ft<Foo, Bar>",1559
fun method(),"fun interface NestedSAM {
        
    }",// FILE: main.kt,f9b6
fun eatAString(a: A<String>),{},"// !DIAGNOSTICS: -UNUSED_PARAMETER
// FILE: A.java",0a2e
fun test2(w: W),"{
    eatAString(w)
    eatAStringN(<!TYPE_MISMATCH!>w<!>)
}",// FILE: 3.kt,07be
fun test(),{},// FILE: main.kt,fe98
fun main(a: A),"{
    a.foo("""", null)<!UNNECESSARY_SAFE_CALL!>?.<!>length
    a.foo("""", null).length
    a.foo(<!NULL_FOR_NONNULL_TYPE!>null<!>, """").length

    a.bar().length
    a.bar()<!UNNECESSARY_NOT_NULL_ASSERTION!>!!<!>.length

    a.field<!UNNECESSARY_SAFE_CALL!>?.<!>length
    a.field.length

    a.baz()<!UNSAFE_CALL!>.<!>get(0)
    a.baz()!!.get(0).get(0)
    a.baz()!!.get(0)<!UNNECESSARY_SAFE_CALL!>?.<!>get(0)
}","// FIR_IDENTICAL
// !DIAGNOSTICS: -UNUSED_VARIABLE -UNUSED_PARAMETER
// JSR305_GLOBAL_REPORT: strict

// FILE: spr/Nullable.java",c1f5
"fun check(x: Long, left: Long, right: Long)",": Boolean {
    val result = x in left..right
    val manual = x >= left && x <= right
    val range = left..right
    assertTrue(result == manual, ""Failed: optimized === manual for $range"")
    assertTrue(result == checkUnoptimized(x, range), ""Failed: optimized === unoptimized for $range"")
    return result
}",// WITH_STDLIB,ed27
fun <K> bar(x: Foo<K>),: Unit {},"// TARGET_BACKEND: JVM
// WITH_STDLIB",7000
fun bar(),"{
    Foo<Any>({}","// FIR_IDENTICAL
// !DIAGNOSTICS: -UNUSED_PARAMETER
// SKIP_TXT
// Issue: KT-35168",66c3
fun foo(value: Value<String>),"{
        res = value.value
    }","// WITH_STDLIB
// WORKS_WHEN_VALUE_CLASS
// LANGUAGE: +ValueClasses, +GenericInlineClassParameter",a4b2
fun box(),": String {
    for (i in D.indices) {
        for (j in D[i].data.indices) {
            val x = D[i].data[j].toInt()
            if (x != i + j) throw AssertionError()
        }","// !LANGUAGE: +InlineClasses
// WITH_STDLIB",4f27
fun testRangeTo(),": String {
    var result = """"
    for (x in 1..3) {
        result += x
    }","// EXPECTED_REACHABLE_NODES: 1293
// CHECK_CONTAINS_NO_CALLS: testRangeTo
// CHECK_CONTAINS_NO_CALLS: testRangeToFunction
// CHECK_CONTAINS_NO_CALLS: testUntil
// CHECK_CONTAINS_NO_CALLS: testDownTo
// CHECK_CONTAINS_NO_CALLS: testStep TARGET_BACKENDS=JS
// CHECK_CONTAINS_NO_CALLS: testEmptyRange
// CHECK_CONTAINS_NO_CALLS: testRangeToParams except=from;to TARGET_BACKENDS=JS",6699
fun test(),": String {
    val p = object : Test() {}","// !LANGUAGE: -ProhibitProtectedCallFromInline
// TARGET_BACKEND: JVM

// FILE: Test.java",fe98
"fun test(ok: String, fail: String)",= o,"// MODULE: lib
// FILE: l1.kt",1e68
fun box(),": String {
    var c = A()
    c = A()
    c = A()
    return if (a == 3) ""OK"" else ""fail: $a""
}",// EXPECTED_REACHABLE_NODES: 1283,4f27
fun takeString(s: String),{},// ISSUE: KT-37488,b6f3
fun usa<caret>ge(j: JavaDeclaration),= j,// FILE: usage.kt,b581
fun f(),"{

    }",// LANGUAGE: +StopPropagatingDeprecationThroughOverrides,f6fb
fun value(),": Value<T>
}

class Singleton<T>(val x: T) : WithValue<T> {
    override  = Value(x)
}",// FIR_IDENTICAL,ba8e
fun getObjCClassAt(cursor: CValue<CXCursor>),": ObjCClassImpl {
        assert(cursor.kind == CXCursorKind.CXCursor_ObjCInterfaceDecl) { cursor.kind }",// It is forward declaration <=> the first child is reference to it:,f61e
fun foo(),"<!>

<!CONFLICTING_OVERLOADS, EXPECTED_DECLARATION_WITH_BODY!>expect <!> {}","// MODULE: m1-common
// FILE: common.kt",519f
fun box(),": String {
    buildMap {
        val replaced = put(""key"", ""value"")
        if (replaced != null) {
            return ""Error: $replaced""
        }","// TARGET_BACKEND: JVM
// WITH_STDLIB
// ISSUE: KT-52190",4f27
fun test(),": Unit {
        val x: Qux<in T, <!UPPER_BOUND_VIOLATED!>Baz<T, <!UPPER_BOUND_VIOLATED!>Bar<Foo, <!CONFLICTING_PROJECTION!>in<!> T><!>><!>> = <!INITIALIZER_TYPE_MISMATCH!>null!!<!>
        x.f = null!!
    }",// ISSUE: KT-49024,fe98
fun existingMethodInBase(param: T),"}

open class Transitive : Base<String>()

expect open class Foo : Transitive {
    fun existingMethod()
    val existingParam: Int
}","// FIR status: KT-65249 K2: False positive modality is different for native compilation

// WITH_STDLIB
// MODULE: m1-common
// FILE: common.kt",3248
fun existingMethodInBase(param: T),{},"// MODULE: m2-jvm()()(m1-common)
// FILE: jvm.kt",3248
fun box(),": String {
    return if (z1 && !z2) ""OK"" else ""fail""
}","// TARGET_BACKEND: JS_IR
// IGNORE_BACKEND: WASM
// PROPERTY_LAZY_INITIALIZATION

// FILE: lib.kt",4f27
fun test(),"{
    JavaClass.field
    JavaClass.method()
}","// FIR_IDENTICAL
// FILE: test/JavaClass.java",fe98
fun foo(e: VcsException),"{
    e.message.contains("""")
    """" in e.message
}","// FIR_IDENTICAL
// !DIAGNOSTICS: -UNUSED_PARAMETER
// JAVAC_EXPECTED_FILE
// FILE: VcsException.java",fdbf
fun box(),": String {
    try {
        return ""fail: ${A.x.toString()}","// EXPECTED_REACHABLE_NODES: 1284
// See KT-12254",4f27
fun foo(),"// MODULE: m2-jvm()()(m1-common)
// FILE: jvm.kt

<!CONFLICTING_OVERLOADS!>actual <!> {}","// MODULE: m1-common
// FILE: common.kt",519f
fun foo(),<!> {},"// MODULE: m3-js()()(m1-common)
// FILE: js.kt",519f
fun add(a: T),{},"// FIR_IDENTICAL
// ISSUE: KT-66243",2c31
fun generateWhenSubject(expression: KtWhenExpression),": IrVariable? {
        val subjectVariable = expression.subjectVariable
        val subjectExpression = expression.subjectExpression
        return when {
            subjectVariable != null -> statementGenerator.visitProperty(subjectVariable, null) as IrVariable
            subjectExpression != null -> scope.createTemporaryVariable(subjectExpression.genExpr(), ""subject"")
            else -> null
        }",// chunk conditions to avoid stackoverflow later when IrWhen is visited,363f
fun plus(ss: String),= s,"// TARGET_BACKEND: JVM
// JVM_TARGET: 1.8
// SAM_CONVERSIONS: INDY
// FULL_JDK

// CHECK_BYTECODE_TEXT
// JVM_IR_TEMPLATES
// 2 java/lang/invoke/LambdaMetafactory

// FILE: serializableBoundClassMemberFunRef.kt",fbf2
fun foo(),= B,// !RENDER_ALL_DIAGNOSTICS_FULL_TEXT,519f
fun divAssign(a: Int),"{
        c1++;
    }",// EXPECTED_REACHABLE_NODES: 1290,d940
fun run(),": String
}

inline fun test(s: () -> Call = {","// NO_CHECK_LAMBDA_INLINING

// FILE: 1.kt",354f
fun getX(),= 1,// FIR_IDENTICAL,5bf4
fun main(),"{
    ::<!UNRESOLVED_REFERENCE!>Inner<!>
    val y = A::Inner

    checkSubtype<KFunction1<A, A.Inner>>(y)
}","// FIR_IDENTICAL
// !CHECK_TYPE
// !DIAGNOSTICS: -UNUSED_EXPRESSION",d987
fun o(k: String),= A,"// EXPECTED_REACHABLE_NODES: 1269

// MODULE: lib
// FILE: lib.kt",1084
fun x(),{},"// FIR_IDENTICAL
// !DIAGNOSTICS: -UNUSED_PARAMETER",7869
fun useAnnGen1(x: TestAnnGen1),= x,// FIR_IDENTICAL,1b92
fun suspendThere(v: String),: String = s,"// WITH_STDLIB
// WITH_COROUTINES
// CHECK_BYTECODE_LISTING
// FIR_IDENTICAL
// CHECK_NEW_COUNT: function=suspendHere count=0 TARGET_BACKENDS=JS
// FIXME: Coroutine inlining
// CHECK_NEW_COUNT: function=complexSuspend count=0 TARGET_BACKENDS=JS",4d2d
fun foo(),"{
    bar()!!
}",// FIR_IDENTICAL,519f
fun foo(),"}

expect open class Foo : Base

// MODULE: m2-jvm()()(m1-common)
// FILE: jvm.kt

actual open class Foo : Base {
    final override fun <!ACTUAL_WITHOUT_EXPECT!>foo<!>() {}","// MODULE: m1-common
// FILE: common.kt",519f
fun fn(),{},"// FIR_IDENTICAL
// !CHECK_TYPE
// FILE: A.java",8fa7
fun foo(),{},"//  Interface  AnotherInterface
//          \  /
//           \/
//     DerivedInterface
//",519f
fun test(t: Throwable),"{
    t.fillInStackTrace()
}","// FULL_JDK
// ISSUE: KT-39044",4c5a
"fun checkIfTheContainingClassIsParcelize(annotationCall: FirAnnotationCall, context: CheckerContext, reporter: DiagnosticReporter)","{
        val enclosingClass = context.findClosestClassOrObject() ?: return

        if (!enclosingClass.symbol.isParcelize(context.session, parcelizeAnnotationClassIds)) {
            val reportElement = annotationCall.calleeReference.source ?: annotationCall.source
            reporter.reportOn(reportElement, KtErrorsParcelize.CLASS_SHOULD_BE_PARCELIZE, enclosingClass.symbol, context)
        }","// For `@WriteWith<P> T` where `P` is a subtype of `Parceler<E>`, check that T is a subtype of E.
        //
        // From the perspective of the `WriteWith` annotation call, `T` corresponds to the nearest enclosing annotation container
        // stripped of annotations.
        //
        // It's safe to assume that `Parceler` refers to `kotlinx.parcelize.Parceler` rather than `kotlinx.android.parcel.Parceler`,
        // since using the deprecated `WriteWith` annotation is an error.",7d65
fun checkTrue(),": Boolean {
        var hit = false
        val l = { hit = true; true }","// TARGET_BACKEND: JVM
// ASSERTIONS_MODE: jvm
// WITH_STDLIB",6a1b
"fun overloadedFun(arg: String, vararg args: String)",= X,"// !LANGUAGE: +ProhibitAssigningSingleElementsToVarargsInNamedForm
// !DIAGNOSTICS: -UNUSED_PARAMETER",4cae
fun bar(arg: String),= a,// KT-14469: SOE during effective visibility evaluation,2bb8
fun main(),"{
    val storages: HashMap<String, String> = HashMap<String, String>()
    val a = <!ASSIGNMENT_IN_EXPRESSION_CONTEXT!>storages<!NO_SET_METHOD!>[""4""]<!> = """"<!> //K1 compile error - Kotlin: Assignments are not expressions, and only expressions are allowed in this context
    storages<!NO_SET_METHOD!>[""4""]<!> = """"

    var nonStorages: Int = 10
    val b = <!ASSIGNMENT_IN_EXPRESSION_CONTEXT!>nonStorages = 20<!>
    nonStorages = 20
}","// ISSUE: KT-61067
// DIAGNOSTICS: -ASSIGNED_BUT_NEVER_ACCESSED_VARIABLE",d987
fun useOptional(),": A {
    return Optional.of(0).map { B() <!USELESS_CAST!>as A<!> }","// ISSUE: KT-33108
// FULL_JDK",e29e
fun f(),{},"// FIR_IDENTICAL
// WITH_STDLIB",f6fb
fun foo(),"{
    var tokenType: String? = null
    while (true) {
        FindTagEnd@ while (tokenType.let { it != null && it !== ""XML_END_TAG_START"" }","//KT-48116
//WITH_STDLIB",519f
fun visitIs(isOperator: ESIs),: MutableContextInfo = w,// Check for information from conditional effects,c338
fun contains(x: String),= f,"// !DIAGNOSTICS: -UNUSED_PARAMETER -PARAMETER_NAME_CHANGED_ON_OVERRIDE
// FILE: A.java",cdc3
fun validFun(),{},// FILE: a.kt,66db
fun validFun(),{},// FILE: b.kt,66db
fun invalidFun0(),<!> {},// FILE: c.kt,8e30
fun main(),"{
    val worker = Worker.current
    val future = worker.requestTermination(false)
    worker.processQueue()
    assertEquals(future.state, FutureState.COMPUTED)
    future.consume {}",// OUTPUT_REGEX: ^$,d987
fun main(),"{
    val array = MyArray()
    val f: () -> String = {
        <!EXPECTED_TYPE_MISMATCH!>array[2] = 23<!> //error: Type mismatch: inferred type is Int (!!!) but String was expected
    }",//KT-235 Illegal assignment return type,d987
fun foo(x: X),"}

open class FooImpl : Foo<String> {
    override fun foo(x: String) {
    }","// FIR_IDENTICAL
// !DIAGNOSTICS: -UNUSED_PARAMETER",bf55
