signature,body,docstring,id
"fun set(receiver1: D, receiver2: E, value: V)",": kotlin.Unit
}

public interface KProperty<out V> : kotlin.reflect.KCallable<V> {
}",,e24c
fun get(),": V
}

public interface KProperty1<T, out V> : kotlin.reflect.KProperty<V>, (T) -> V {
    public abstract fun get(receiver: T): V
}",,7383
"fun get(receiver1: D, receiver2: E)",": V
}

public interface KType {
    @kotlin.SinceKotlin(version = ""1.1"")
    public abstract val arguments: kotlin.collections.List<kotlin.reflect.KTypeProjection> { get; }",,fe4a
fun component1(),": kotlin.reflect.KVariance?

    public final operator fun component2(): kotlin.reflect.KType?

    public final fun copy(variance: kotlin.reflect.KVariance? = .",,fd7c
fun hashCode(),"fun equals(other: kotlin.Any?): kotlin.Boolean

    public open override : kotlin.Int

    public open override fun toString(): kotlin.String

    public companion object of KTypeProjection {
        public final val STAR: kotlin.reflect.KTypeProjection { get; }",,6874
No signature found,"fun contravariant(type: kotlin.reflect.KType): kotlin.reflect.KTypeProjection

        @kotlin.jvm.JvmStatic
        public final fun covariant(type: kotlin.reflect.KType): kotlin.reflect.KTypeProjection

        @kotlin.jvm.JvmStatic
        public final fun invariant(type: kotlin.reflect.KType): kotlin.reflect.KTypeProjection
    }
}

@kotlin.SinceKotlin(version = """,,6e1f
No signature found,"fun foo(p: String??) {
        // Make sure errors are not suppressed:
        <!VAL_REASSIGNMENT!>p<!> = """"
    }",// FIR_IDENTICAL,6e1f
fun getExtraImports(ktFile: KtFile),": Collection<KtImportInfo> =
        k",,9699
fun hasClassifier(classifierId: CirEntityId),"=
        i",,5cef
fun findTypeAliasesWithUnderlyingType(underlyingClassifier: CirEntityId),": List<CirEntityId> {
        return typeAliasesByUnderlyingTypes[underlyingClassifier].orEmpty()
    }",,a9d2
fun classifier(classifierId: CirEntityId),"=
        c",,f48a
fun load(modulesProvider: ModulesProvider),": CirProvidedClassifiers {
            val classifiers = CommonizerMap<CirEntityId, CirProvided.Classifier>()

            modulesProvider.moduleInfos.forEach { moduleInfo ->
                val metadata = modulesProvider.loadModuleMetadata(moduleInfo.name)
                readModule(metadata, classifiers::set)
            }",,d3e2
fun loadExportedForwardDeclarations(modulesProviders: List<ModulesProvider>),": CirProvidedClassifiers {
            val classifiers = CommonizerMap<CirEntityId, CirProvided.Classifier>()

            modulesProviders.flatMap { moduleProvider -> moduleProvider.moduleInfos }",,d942
No signature found,"fun readExportedForwardDeclarations(
    cInteropAttributes: CInteropModuleAttributes,
    consumer: (CirEntityId, CirProvided.Classifier) -> Unit
) {
    val exportedForwardDeclarations = cInteropAttributes.exportedForwardDeclarations
    if (exportedForwardDeclarations.isEmpty()) return

    val mainPackageName = CirPackageName.create(cInteropAttributes.mainPackage)

    exportedForwardDeclarations.forEach { classFqName ->
        // Class has synthetic package FQ name (cnames/objcnames). Need to transfer it to the main package.
        val syntheticPackageName = CirPackageName.create(classFqName.substringBeforeLast('.', missingDelimiterValue = """"))
        val className = CirName.create(classFqName.substringAfterLast('.'))

        val syntheticClassId = CirEntityId.create(syntheticPackageName, className)
        val aliasedClassId = CirEntityId.create(mainPackageName, className)

        val clazz = CirProvided.ExportedForwardDeclarationClass(syntheticClassId)

        consumer(syntheticClassId, clazz)
        consumer(aliasedClassId, clazz)
    }",,6e1f
No signature found,"fun readModule(metadata: SerializedMetadata, consumer: (CirEntityId, CirProvided.Classifier) -> Unit) {
    for (i in metadata.fragmentNames.indices) {
        val packageFqName = metadata.fragmentNames[i]
        val packageFragments = metadata.fragments[i]

        val classProtosToRead = ClassProtosToRead()

        for (j in packageFragments.indices) {
            val packageFragmentProto = parsePackageFragment(packageFragments[j])

            val classProtos: List<ProtoBuf.Class> = packageFragmentProto.class_List
            val typeAliasProtos: List<ProtoBuf.TypeAlias> = packageFragmentProto.`package`?.typeAliasList.orEmpty()

            if (classProtos.isEmpty() && typeAliasProtos.isEmpty())
                continue

            val packageName = CirPackageName.create(packageFqName)
            val strings = NameResolverImpl(packageFragmentProto.strings, packageFragmentProto.qualifiedNames)

            classProtosToRead.addClasses(classProtos, strings)

            if (typeAliasProtos.isNotEmpty()) {
                val types = TypeTable(packageFragmentProto.`package`.typeTable)
                for (typeAliasProto in typeAliasProtos) {
                    readTypeAlias(typeAliasProto, packageName, strings, types, consumer)
                }",,6e1f
No signature found,"fun addClasses(classProtos: List<ProtoBuf.Class>, strings: NameResolver) {
        classProtos.forEach { classProto ->
            if (strings.isLocalClassName(classProto.fqName)) return@forEach

            val classId = CirEntityId.create(strings.getQualifiedClassName(classProto.fqName))
            val parentClassId: CirEntityId = classId.getParentEntityId() ?: NON_EXISTING_CLASSIFIER_ID

            groupedByParentClassId.getValue(parentClassId) += ClassEntry(classId, classProto, strings)
        }",,6e1f
No signature found,"fun forEachClassInScope(parentClassId: CirEntityId?, block: (ClassEntry) -> Unit) {
        groupedByParentClassId[parentClassId ?: NON_EXISTING_CLASSIFIER_ID]?.forEach { classEntry -> block(classEntry) }",,6e1f
No signature found,"fun readClass(
    classEntry: ClassProtosToRead.ClassEntry,
    classProtosToRead: ClassProtosToRead,
    typeParameterIndexOffset: Int,
    consumer: (CirEntityId, CirProvided.Classifier) -> Unit
) {
    val (classId, classProto) = classEntry

    val typeParameterNameToIndex = HashMap<Int, Int>()

    val typeParameters = readTypeParameters(
        typeParameterProtos = classProto.typeParameterList,
        typeParameterIndexOffset = typeParameterIndexOffset,
        nameToIndexMapper = typeParameterNameToIndex::set
    )
    val typeReadContext = TypeReadContext(classEntry.strings, TypeTable(classProto.typeTable), typeParameterNameToIndex)

    val supertypes = (classProto.supertypeList.map { readType(it, typeReadContext) }",,6e1f
No signature found,"fun readTypeAlias(
    typeAliasProto: ProtoBuf.TypeAlias,
    packageName: CirPackageName,
    strings: NameResolver,
    types: TypeTable,
    consumer: (CirEntityId, CirProvided.Classifier) -> Unit
) {
    val typeAliasId = CirEntityId.create(packageName, CirName.create(strings.getString(typeAliasProto.name)))

    val typeParameterNameToIndex = HashMap<Int, Int>()
    val typeParameters = readTypeParameters(
        typeParameterProtos = typeAliasProto.typeParameterList,
        typeParameterIndexOffset = 0,
        nameToIndexMapper = typeParameterNameToIndex::set
    )

    val underlyingType = readType(typeAliasProto.underlyingType(types), TypeReadContext(strings, types, typeParameterNameToIndex))
    val typeAlias = CirProvided.TypeAlias(typeParameters, underlyingType as CirProvided.ClassOrTypeAliasType)

    consumer(typeAliasId, typeAlias)
}",,6e1f
No signature found,"fun readTypeParameters(
    typeParameterProtos: List<ProtoBuf.TypeParameter>,
    typeParameterIndexOffset: Int,
    nameToIndexMapper: (name: Int, id: Int) -> Unit = {",,6e1f
No signature found,"fun readType(typeProto: ProtoBuf.Type, context: TypeReadContext): CirProvided.Type =
    w",,6e1f
No signature found,"fun readTypeArguments(argumentProtos: List<ProtoBuf.Type.Argument>, context: TypeReadContext): List<CirProvided.TypeProjection> =
    a",,6e1f
No signature found,"fun readVariance(varianceProto: ProtoBuf.TypeParameter.Variance): Variance =
    w",,6e1f
No signature found,"fun readVariance(varianceProto: ProtoBuf.Type.Argument.Projection): Variance? =
    w",,6e1f
fun <T> bind(r: Option<T>),": Option<T> {
    return if (r is Some) {
        // Ideally we should infer Option<T> here (see KT-10896)
        (if (true) None() else r) checkType { _<Option<T>>() }","// !CHECK_TYPE
// See also KT-10896: Wrong inference of if / else result type",04e8
fun <T> bind2(r: Option<T>),": Option<T> {
    return if (r is Some) {
        // Works correctly
        if (true) None<T>() else r
    }",// Works correctly,bb46
"fun <T, R> bind3(r: Option<T>)",": Option<T> {
    return <!RETURN_TYPE_MISMATCH!>if (r is Some) {
        // Diagnoses an error correctly
        if (true) None<R>() else r
    }",,329f
fun <T> bindWhen(r: Option<T>),": Option<T> {
    return when (r) {
        is Some -> {
            // Works correctly
            if (true) None() else r
        }",,da38
fun bindNoGeneric(r: SimpleOption),": SimpleOption {
    return if (r is SimpleSome) {
        (if (true) SimpleNone() else r) checkType { _<SimpleOption>() }",,463e
fun registerServices(project: Project),"{
        val mbs: MBeanServer = ManagementFactory.getPlatformMBeanServer()
        registerStatsService(
            mbs,
            DefaultKotlinBuildStatsBeanService(project, getBeanName(DEFAULT_SERVICE_QUALIFIER)),
            KotlinBuildStatsMXBean::class.java,
            DEFAULT_SERVICE_QUALIFIER
        )
        // to support backward compatibility with Idea before version 232
        registerStatsService(
            mbs,
            Pre232IdeaKotlinBuildStatsBeanService(project, getBeanName(LEGACY_SERVICE_QUALIFIER)),
            Pre232IdeaKotlinBuildStatsMXBean::class.java,
            LEGACY_SERVICE_QUALIFIER
        )

    }",,b3bb
fun recordBuildStart(buildId: String),"{
        services.forEach { it.value.recordBuildStart(buildId) }",,1f0c
No signature found,"fun <T : KotlinBuildStatsBeanService> registerStatsService(
        mbs: MBeanServer,
        service: T,
        beanInterfaceType: Class<in T>,
        qualifier: String,
    ) {
        val beanName = getBeanName(qualifier)
        val loggedServiceName = ""${KotlinBuildStatsBeanService::class.java}",,6e1f
fun close(),"{
        for (service in services.values) {
            service.close()
        }",,7e58
fun getBeanName(qualifier: String),"=
            O",,ce9a
fun twoReturnsValue(b: Boolean),"{
    contract {
        returns(true) implies b
        returns(false) implies (!b)
    }","// !LANGUAGE: +AllowContractsForCustomFunctions +ReadDeserializedContracts
// !OPT_IN: kotlin.contracts.ExperimentalContracts",40cb
fun threeReturnsValue(b: Boolean),"{
    contract {
        returnsNotNull() implies (b != null)
        returns(true) implies (b)
        returns(false) implies (!b)
    }",,68a5
fun returnsAndFinished(b: Boolean),"{
    contract {
        returns(true) implies (b)
        returns() implies (b != null)
        returns(false) implies (!b)
    }",,4d6a
No signature found,"fun returnsAndCalls(b: Boolean, block: () -> Unit) {
    contract {
        returns(false) implies (!b)
        callsInPlace(block)
        returns(true) implies (b)
    }",,6e1f
No signature found,"fun severalCalls(x: () -> Unit, y: () -> Unit) {
    contract {
        callsInPlace(x, InvocationKind.AT_MOST_ONCE)
        callsInPlace(y, InvocationKind.AT_LEAST_ONCE)
    }",,6e1f
fun test(),"{
    run {<!RETURN_NOT_ALLOWED!>return<!>}",// FIR_IDENTICAL,fe98
fun test2(),"{
    run {<!RETURN_NOT_ALLOWED!>return@test2<!>}",,30bb
fun test3(),"{
    fun test4() {
        run {<!RETURN_NOT_ALLOWED!>return@test3<!>}",,a31f
No signature found,fun <T> run(f: () -> T): T { return f() },,6e1f
"fun transform(internalClassName: String, methodNode: MethodNode)","{
        Transformer(internalClassName, methodNode).run()
    }",,8bc5
fun onUseAsTainted(),"{
            hazard = true
        }","// Tracks proper usages of objects corresponding to captured variables.
    //
    // The 'kotlin.jvm.internal.Ref.*' instance can be replaced with a local variable, if
    //  * it is created inside a current method;
    //  * the only operations on it are ALOAD, ASTORE, DUP, POP, GETFIELD element, PUTFIELD element.
    //
    // Note that for code that doesn't create Ref objects explicitly these conditions are true,
    // unless the Ref object escapes to a local class constructor (including local classes for lambdas).
    //",005e
fun canRewrite(),= !,,18b7
fun run(),"{
            createRefValues()
            if (refValues.isEmpty()) return

            val frames = analyze(internalClassName, methodNode, Interpreter())
            trackPops(frames)
            assignLocalVars(frames)

            for (refValue in refValues) {
                if (refValue.canRewrite()) {
                    rewriteRefValue(refValue)
                }",,354f
No signature found,fun AbstractInsnNode.getIndex() = m,,6e1f
fun createRefValues(),"{
            for (insn in methodNode.instructions.asSequence()) {
                if (insn.opcode == Opcodes.NEW && insn is TypeInsnNode) {
                    val type = Type.getObjectType(insn.desc)
                    if (AsmTypes.isSharedVarType(type)) {
                        val valueType = REF_TYPE_TO_ELEMENT_TYPE[type.internalName] ?: continue
                        val refValue = CapturedVarDescriptor(insn, type, valueType)
                        refValues.add(refValue)
                        refValuesByNewInsn[insn] = refValue
                    }",,38e3
fun newOperation(insn: AbstractInsnNode),": BasicValue =
                r",,cf68
"fun processRefValueUsage(value: TrackedReferenceValue, insn: AbstractInsnNode, position: Int)","{
                for (descriptor in value.descriptors) {
                    if (descriptor !is CapturedVarDescriptor) throw AssertionError(""Unexpected descriptor: $descriptor"")
                    when {
                        insn.opcode == Opcodes.DUP -> descriptor.wrapperInsns.add(insn)
                        insn.opcode == Opcodes.ALOAD -> descriptor.wrapperInsns.add(insn)
                        insn.opcode == Opcodes.ASTORE -> descriptor.wrapperInsns.add(insn)
                        insn.opcode == Opcodes.GETFIELD && insn is FieldInsnNode && insn.name == REF_ELEMENT_FIELD && position == 0 ->
                            descriptor.getFieldInsns.add(insn)
                        insn.opcode == Opcodes.PUTFIELD && insn is FieldInsnNode && insn.name == REF_ELEMENT_FIELD && position == 0 ->
                            descriptor.putFieldInsns.add(insn)
                        insn.opcode == Opcodes.INVOKESPECIAL && insn is MethodInsnNode && insn.name == INIT_METHOD_NAME && position == 0 ->
                            if (descriptor.initCallInsn != null && descriptor.initCallInsn != insn)
                                descriptor.hazard = true
                            else
                                descriptor.initCallInsn = insn
                        else -> descriptor.hazard = true
                    }",,4100
No signature found,"fun trackPops(frames: Array<out Frame<BasicValue>?>) {
            for ((i, insn) in methodNode.instructions.asSequence().withIndex()) {
                val frame = frames[i] ?: continue
                when (insn.opcode) {
                    Opcodes.POP -> {
                        frame.top()?.getCapturedVarOrNull()?.run { wrapperInsns.add(insn) }",,6e1f
No signature found,"fun BasicValue.getCapturedVarOrNull(): CapturedVarDescriptor? =
            (",,6e1f
No signature found,"fun assignLocalVars(frames: Array<out Frame<BasicValue>?>) {
            for (localVar in methodNode.localVariables) {
                val type = Type.getType(localVar.desc)
                if (!AsmTypes.isSharedVarType(type)) continue

                val startFrame = frames[localVar.start.getIndex()] ?: continue

                val refValue = startFrame.getLocal(localVar.index) as? ProperTrackedReferenceValue ?: continue
                val descriptor = refValue.descriptor as? CapturedVarDescriptor ?: continue

                if (descriptor.hazard) continue

                if (descriptor.localVar == null) {
                    descriptor.localVar = localVar
                }",,6e1f
No signature found,"fun LocalVariableNode.findCleanInstructions() =
            I",,6e1f
No signature found,"fun InsnList.removeOrReplaceByNop(insn: AbstractInsnNode) {
            if (insn.previous is LineNumberNode && insn.next is LabelNode && insn.next.next is LineNumberNode) {
                set(insn, InsnNode(Opcodes.NOP))
            }",,6e1f
fun rewriteRefValue(capturedVar: CapturedVarDescriptor),"{
            methodNode.instructions.run {
                val loadOpcode = capturedVar.valueType.getOpcode(Opcodes.ILOAD)
                val storeOpcode = capturedVar.valueType.getOpcode(Opcodes.ISTORE)

                val localVar = capturedVar.localVar
                if (localVar != null) {
                    if (capturedVar.putFieldInsns.none { it.getIndex() < localVar.start.getIndex() }",,a7ed
